title,url,summary,press,date
"뉴욕증시, AI 반도체 주 반등·블루칩은 반락…혼조 출발",https://n.news.naver.com/mnews/article/001/0014769279,김 현 연합인포맥스 통신원 = 뉴욕증시는 최근 시장의 향배를 좌우하고 있는 인공지능(AI) 반도체 주들이 반등하고 '블루칩' 우량주들이..,연합뉴스 ,2024-06-25 23:54:00
"뉴욕증시, 장 초반 혼조세…엔비디아 반등에 S&P500·나스닥 상승",https://n.news.naver.com/mnews/article/277/0005436945,미국 뉴욕증시의 3대 지수는 25일(현지시간) 장 초반 혼조세를 나타내고 있다. 전날 7% 가까이 하락한 엔비디아가 2% 넘게 반등하며..,아시아경제 ,2024-06-25 22:54:23
"“참을만큼 참았다, 이제는 좀 가자”...‘이 종목’ 추천 늘어난 이유",https://n.news.naver.com/mnews/article/009/0005324759,"증권사, 삼성전자 ETF 추천 늘어 D램값 상승에 수익성 개선 기대 삼전 비중 20% 넘는 ETF 유망 올 하반기 메모리 반도체 업황 ..",매일경제 ,2024-06-25 22:37:09
"“미친듯 달리더니 갑자기 왜 이래”...600조 증발한 엔비디아, 젠슨황도 팔았다는데",https://n.news.naver.com/mnews/article/009/0005324747,"‘AI 대장주’ 엔비디아 급브레이크 사흘만에 시총 600조원 증발 젠슨 황, 이달 72만주 매도 “닷컴버블 때 시스코와 비슷” AI 장..",매일경제 ,2024-06-25 21:28:11
"""제철 과일 싸졌네"" 착해진 수박·토마토…폭염 오면 다시 '들썩' 우려",https://n.news.naver.com/mnews/article/057/0001825881,"최근 수박이나 참외, 토마토 등 제철 과일이 나오면서 그나마 과일값에 숨통이 트였습니다. 하지만, 곧 폭염이 시작되면 과일 뿐 아니라 ..",MBN ,2024-06-25 20:12:12
엔비디아 급락은 젠슨 황 매도 때문?…내부자들 6000억 이상 팔아,https://n.news.naver.com/mnews/article/031/0000847694,엔비디아가 하루 만에 6%대 급락한 가운데 젠슨 황 엔비디아 최고경영자(CEO) 등 간부들의 주식 매도가 투자자들의 불안을 부추겼다는 ..,아이뉴스24 ,2024-06-25 19:30:06
“여름 보너스 챙기려면 얼른 사세요”…배당 빵빵한 ‘이 종목’,https://n.news.naver.com/mnews/article/009/0005324722,분기배당 주목할 곳은 작년보다 배당액 확대 전망에 투자 쏠리며 현대차우 3% 쑥 KB 등 금융주는 배당률 1%대 특별배당 주는 ETF에..,매일경제 ,2024-06-25 19:18:06
"국민연금, 하반기 거래증권사 통보…NH·LS '복귀' 대신·신한 '탈락'",https://n.news.naver.com/mnews/article/277/0005436897,국민연금의 올해 하반기 국내 주식 거래증권사가 결정됐다. 상반기 제외됐던 NH투자증권 등 6개 사가 다시 포함됐지만 신한투자증권과 대신..,아시아경제 ,2024-06-25 18:20:42
"출렁거리는 환율… 코스피, 外人시대",https://n.news.naver.com/mnews/article/029/0002882959,"외국인, 이달 4.48조 순매수 이틀간 3190·5080억 매도 동기 코스피 2800선 붕괴 달러 1380원대로 강세 영향 최근 글로벌..",디지털타임스 ,2024-06-25 18:15:09
엔비디아 독주에 커지는 AI 불안감… 동반 성장이 관건,https://n.news.naver.com/mnews/article/029/0002882957,"4거래일 만에 장중 6%대 상승 마감 3거래일간 13% 하락은 만회 못해 시장선 ""단순 조정장… 매우 건전"" 투자회수, 매년 수천억 수..",디지털타임스 ,2024-06-25 18:15:09
“SK만 바라봅니다”…‘리밸런싱’에 사모펀드도 군침[마켓인],https://n.news.naver.com/mnews/article/018/0005773564,SK그룹의 대대적인 사업 포트폴리오 재편이 이달 베일을 벗는다. 219개에 달하는 계열사를 정리하는 과정에서 중복 계열사 간의 합병 및..,이데일리 ,2024-06-25 18:11:13
日거래소 물량 폭탄 우려에…비트코인 한때 6만弗 붕괴,https://n.news.naver.com/mnews/article/009/0005324658,"마운트곡스, 7월 매도 공식화 ETF 7일연속 순유출 영향도 비트코인이 25일 한때 8%가량 급락하며 6만달러 선 아래로 떨어졌다. 비..",매일경제 ,2024-06-25 18:00:19
젠슨황도 팔았다…엔비디아 고점 신호? 단기 조정?,https://n.news.naver.com/mnews/article/009/0005324655,"사흘만에 시총 600조원 증발 경영진도 매도 행렬 동참 ""닷컴버블 때 시스코와 비슷"" AI 장기 수익성 확보가 관건 미국 뉴욕 증시 상..",매일경제 ,2024-06-25 18:00:09
엔비디아 사흘간 13% 급락… 고점 물린 서학개미 울상,https://n.news.naver.com/mnews/article/014/0005204271,"액면분할하고 주가가 저렴해진 것 같아 들어왔더니 그전보다 더 떨어졌네요."" 서학개미들의 전폭적인 지지를 받고 있는 엔비디아가 3거래일 ..",파이낸셜뉴스 ,2024-06-25 17:58:20
"큰손 稅부담 줄어들수도… ""단기투자로 매매 빈도 늘려야""[6개월 앞둔 논란의 금투세]",https://n.news.naver.com/mnews/article/014/0005204268,"채권 투자자들은 오히려 유리하다고 하던데…"" ""장기 투자가 유리한가요?"" 금융투자소득세(금투세) 도입이 다가오면서 고액 자산가들의 고민..",파이낸셜뉴스 ,2024-06-25 17:57:18
상승세 멈췄던 국제 금값 다시 뛸까,https://n.news.naver.com/mnews/article/009/0005324649,달러강세로 2300달러대 하락 각국 중앙은행 금 확보 경쟁에 美대선도 금값 끌어올릴 호재 3분기부터 반등 전망 나와 지난달 연중 최고치..,매일경제 ,2024-06-25 17:57:09
